ID,ID2,"Item title","Final URL","Image URL","Item subtitle","Item description","Item category",Price,"Sale price"
1910,,"Шляпная коробка Люлечка для него",https://veryberrylab.ru/product/lyulechka-dlya-nego/,https://veryberrylab.ru/upload/iblock/72d/72dc99e5ba5763638e588c4417611842.JPG,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",14,"5490.00 RUB",
2005,,"Шляпная коробка Люлечка для нее",https://veryberrylab.ru/product/lyulechka-dlya-nee/,https://veryberrylab.ru/upload/iblock/f69/f690740751d968730211901157b75554.JPG,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",14,"5490.00 RUB",
2144,,"Шляпная коробка Любимой МАМЕ (М)",https://veryberrylab.ru/product/lyubimoy-mame-m/,https://veryberrylab.ru/upload/iblock/ec7/ec7cf4c3c964f80193c20768b7f6bd01.JPG,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",14,"3290.00 RUB",
2145,,"Шляпная коробка Бокс МАМЕ с розами",https://veryberrylab.ru/product/boks-mame-s-rozami/,https://veryberrylab.ru/upload/iblock/9ae/9ae266164b2a06f7efd559b7ac7dd500.JPG,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",14,"5490.00 RUB",
2148,,"Шляпная коробка С новым Годом!",https://veryberrylab.ru/product/s-novym-godom/,https://veryberrylab.ru/upload/iblock/ee7/ee7425af6f7bc0c733c4c6b680462117.JPG,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",14,"4780.00 RUB",
2149,,"Шляпная коробка Бокс праздничный",https://veryberrylab.ru/product/boks-prazdnichnyy/,https://veryberrylab.ru/upload/iblock/b1a/b1aca499fdccbef275dac1cf14d472a7.JPG,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",14,"2190.00 RUB",
2150,,"Шляпная коробка Бокс Новогодний!",https://veryberrylab.ru/product/boks-novogodniy/,https://veryberrylab.ru/upload/iblock/89e/89e56706279a1199491fae33cab654d0.JPG,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",14,"2190.00 RUB",
2171,,"Шляпная коробка Любименькой",https://veryberrylab.ru/product/lyubimenkoy/,https://veryberrylab.ru/upload/iblock/d4e/d4e763928c956f18132f936dafaf6467.jpg,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",14,"4990.00 RUB",
2172,,"Шляпная коробка 14 февраля",https://veryberrylab.ru/product/14-fevralya/,https://veryberrylab.ru/upload/iblock/20f/20f3596f7b1e4014af5007acf48445cf.jpg,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",14,"5990.00 RUB",
2180,,"Шляпная коробка Большая любовь!",https://veryberrylab.ru/product/bolshaya-lyubov/,https://veryberrylab.ru/upload/iblock/b1c/b1c7499472cb70feb67ce9c8c1640d33.jpg,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",14,"5090.00 RUB",
