id;title;description;availability;condition;price;link;image_link;brand
1697;"Шляпная коробка Шоколадное сердце";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;6590.00;https://veryberrylab.ru/product/shokoladnoe-serdtse9234256/;https://veryberrylab.ru/upload/iblock/abe/abed648ea482b448f4cf5b06470f7b15.JPG;"Very Berry Lab"
1698;"Шляпная коробка Шоколадное сердце";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;6590.00;https://veryberrylab.ru/product/shokoladnoe-serdtse6124453/;https://veryberrylab.ru/upload/iblock/492/4927ed87cc2a66526f63f04a7f7141ec.JPG;"Very Berry Lab"
1699;"Шляпная коробка Шоколадное сердце";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;4990.00;https://veryberrylab.ru/product/shokoladnoe-serdtse8546781/;https://veryberrylab.ru/upload/iblock/3b0/3b036b1f1e7b57f85fe4b0aef647d912.JPG;"Very Berry Lab"
1700;"Шляпная коробка Шоколадное сердце";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;4990.00;https://veryberrylab.ru/product/shokoladnoe-serdtse3213543/;https://veryberrylab.ru/upload/iblock/ccf/ccf381a5e7f401d189bc4e15a2edab18.JPG;"Very Berry Lab"
1701;"Шляпная коробка Шоколадное сердце";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;9890.00;https://veryberrylab.ru/product/shokoladnoe-serdtse21244578/;https://veryberrylab.ru/upload/iblock/bc4/bc4445d92ed35e3167698f7a76ac5c38.JPG;"Very Berry Lab"
1702;"Шляпная коробка Шоколадное сердце";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;10790.00;https://veryberrylab.ru/product/shokoladnoe-serdtse2315/;https://veryberrylab.ru/upload/iblock/809/80917c850ed07c09b184ed6e28950da4.JPG;"Very Berry Lab"
1703;"Шляпная коробка Шоколадное сердце";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;10490.00;https://veryberrylab.ru/product/shokoladnoe-serdtse578549/;https://veryberrylab.ru/upload/iblock/934/9344bcf7952d1db232d4ea64203d803d.JPG;"Very Berry Lab"
1717;"Шляпная коробка Майбах";" - Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод!  - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;3290.00;https://veryberrylab.ru/product/maybakh/;https://veryberrylab.ru/upload/iblock/561/561bd617173e52b8fd3693a80f35539a.jpg;"Very Berry Lab"
1910;"Шляпная коробка Люлечка для него";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;5490.00;https://veryberrylab.ru/product/lyulechka-dlya-nego/;https://veryberrylab.ru/upload/iblock/72d/72dc99e5ba5763638e588c4417611842.JPG;"Very Berry Lab"
2005;"Шляпная коробка Люлечка для нее";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;5490.00;https://veryberrylab.ru/product/lyulechka-dlya-nee/;https://veryberrylab.ru/upload/iblock/f69/f690740751d968730211901157b75554.JPG;"Very Berry Lab"
2144;"Шляпная коробка Любимой МАМЕ (М)";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;3290.00;https://veryberrylab.ru/product/lyubimoy-mame-m/;https://veryberrylab.ru/upload/iblock/ec7/ec7cf4c3c964f80193c20768b7f6bd01.JPG;"Very Berry Lab"
2145;"Шляпная коробка Бокс МАМЕ с розами";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;5490.00;https://veryberrylab.ru/product/boks-mame-s-rozami/;https://veryberrylab.ru/upload/iblock/9ae/9ae266164b2a06f7efd559b7ac7dd500.JPG;"Very Berry Lab"
2148;"Шляпная коробка С новым Годом!";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;4780.00;https://veryberrylab.ru/product/s-novym-godom/;https://veryberrylab.ru/upload/iblock/ee7/ee7425af6f7bc0c733c4c6b680462117.JPG;"Very Berry Lab"
2149;"Шляпная коробка Бокс праздничный";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;2190.00;https://veryberrylab.ru/product/boks-prazdnichnyy/;https://veryberrylab.ru/upload/iblock/b1a/b1aca499fdccbef275dac1cf14d472a7.JPG;"Very Berry Lab"
2150;"Шляпная коробка Бокс Новогодний!";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;2190.00;https://veryberrylab.ru/product/boks-novogodniy/;https://veryberrylab.ru/upload/iblock/89e/89e56706279a1199491fae33cab654d0.JPG;"Very Berry Lab"
2171;"Шляпная коробка Любименькой";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;4990.00;https://veryberrylab.ru/product/lyubimenkoy/;https://veryberrylab.ru/upload/iblock/d4e/d4e763928c956f18132f936dafaf6467.jpg;"Very Berry Lab"
2172;"Шляпная коробка 14 февраля";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;5990.00;https://veryberrylab.ru/product/14-fevralya/;https://veryberrylab.ru/upload/iblock/20f/20f3596f7b1e4014af5007acf48445cf.jpg;"Very Berry Lab"
2180;"Шляпная коробка Большая любовь!";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;5090.00;https://veryberrylab.ru/product/bolshaya-lyubov/;https://veryberrylab.ru/upload/iblock/b1c/b1c7499472cb70feb67ce9c8c1640d33.jpg;"Very Berry Lab"
2184;"Шляпная коробка Тиффани в шляпной коробке";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;3890.00;https://veryberrylab.ru/product/tiffani-v-shlyapnoy-korobke/;https://veryberrylab.ru/upload/iblock/799/799484b084bd40d7b13785e171d063a1.jpg;"Very Berry Lab"
352;"Корзины с фруктами и цветами Корзина бельгийская классика";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;13690.00;https://veryberrylab.ru/product/korzina-belgiyskaya-klassika/;https://veryberrylab.ru/upload/iblock/214/21499ae25f7d93f6ba41611038e36055.jpg;"Very Berry Lab"
654;"Корзины с фруктами и цветами Эксклюзивная корзина &quot;Большая Любовь&quot;";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;49490.00;https://veryberrylab.ru/product/eksklyuzivnaya-korzina-bolshaya-lyubov/;https://veryberrylab.ru/upload/iblock/3cc/3cccf3452eeed2e6eb91f8b18edd482e.jpg;"Very Berry Lab"
655;"Корзины с фруктами и цветами Корзина гранд премьер";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;20890.00;https://veryberrylab.ru/product/korzina-grand-premer/;https://veryberrylab.ru/upload/iblock/d7b/d7b482cdcae7bdfdbdcab9aa7156a551.jpg;"Very Berry Lab"
657;"Корзины с фруктами и цветами Большой сюрприз";" - Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод!  - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;13190.00;https://veryberrylab.ru/product/bolshoy-syurpriz/;https://veryberrylab.ru/upload/iblock/a64/a64b4323d14c2302b1e8926cd713ad26.jpg;"Very Berry Lab"
841;"Корзины с фруктами и цветами Романтик";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;21990.00;https://veryberrylab.ru/product/romantik/;https://veryberrylab.ru/upload/iblock/db2/db2f287349d0be9db6b991f7022e2e5b.jpg;"Very Berry Lab"
